,Negative,Neutral,Positive,Negative counts,Neutral counts,Positive counts,Word counts,Negative TFIDF,Neutral TFIDF,Positive TFIDF,word
4889,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,strait
4890,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Frieda
4891,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,thrown
4892,0.0,1.0,0.0,0.0,6.0,0.0,6.0,0.0,1.0,0.0,scheme
4893,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,sprout
4894,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Steve
4895,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,nailer
4896,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.32
4897,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,rory
4898,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,troll
4899,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Echinacea
4900,1.0,1.0,0.0,1.0,3.0,0.0,4.0,0.25,0.75,0.0,cried
4901,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.5,0.0,0.5,normal
4902,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,Stockbridge
4903,1.0,0.0,1.0,1.0,0.0,3.0,4.0,0.25,0.0,0.75,Lincolnlike
4904,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.5,0.5,0.0,stage
4905,1.0,1.0,1.0,1.0,5.0,2.0,8.0,0.125,0.625,0.25,comment
4906,1.0,1.0,1.0,1.0,1.0,3.0,5.0,0.2,0.2,0.6,Unami
4907,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,elect
4908,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,117-member
4909,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,casualty
4910,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,cash
4911,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,upright
4912,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Fakofo
4913,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,gazette
4914,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,dreadful
4915,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,Senegal
4916,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,140
4917,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,ling
4918,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,wet
4919,1.0,1.0,1.0,4.0,3.0,1.0,8.0,0.5,0.375,0.125,.6
4920,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,studio
4921,1.0,0.0,1.0,3.0,0.0,1.0,4.0,0.75,0.0,0.25,coffee
4922,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,exponent
4923,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,conviction
4924,0.0,1.0,0.0,0.0,5.0,0.0,5.0,0.0,1.0,0.0,mark
4925,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Joon
4926,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,astounding
4927,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,Yamamadi
